county_name,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate
Alameda,1172662,0.116,0.176,0.235,0.273,0.201
Alpine,770,0.088,0.281,0.286,0.212,0.134
Amador,30295,0.1,0.275,0.433,0.131,0.061
Butte,147509,0.108,0.225,0.395,0.18,0.092
Calaveras,34848,0.098,0.28,0.439,0.122,0.061
Colusa,13677,0.287,0.262,0.3,0.111,0.039
Contra Costa,787178,0.105,0.173,0.299,0.262,0.161
Del Norte,19644,0.199,0.31,0.342,0.087,0.061
El Dorado,137028,0.066,0.213,0.379,0.226,0.117
Fresno,604137,0.24,0.227,0.321,0.14,0.071
Glenn,17951,0.252,0.272,0.334,0.109,0.032
Humboldt,92463,0.095,0.222,0.379,0.203,0.101
Imperial,110125,0.303,0.243,0.302,0.106,0.046
Inyo,13204,0.114,0.286,0.328,0.167,0.105
Kern,537799,0.259,0.278,0.299,0.11,0.054
Kings,92916,0.266,0.253,0.334,0.101,0.045
Lake,46426,0.142,0.305,0.397,0.1,0.055
Lassen,22615,0.168,0.345,0.357,0.092,0.037
Los Angeles,6886895,0.209,0.206,0.26,0.212,0.113
Madera,97527,0.281,0.249,0.325,0.102,0.044
Marin,190403,0.067,0.105,0.233,0.343,0.252
Mariposa,13632,0.094,0.244,0.417,0.159,0.086
Mendocino,62005,0.135,0.25,0.371,0.156,0.088
Merced,160388,0.309,0.253,0.301,0.091,0.047
Modoc,6740,0.152,0.33,0.366,0.095,0.057
Mono,9927,0.114,0.242,0.355,0.21,0.078
Monterey,275668,0.285,0.203,0.265,0.148,0.099
Napa,98223,0.145,0.178,0.32,0.232,0.125
Nevada,76000,0.056,0.184,0.388,0.242,0.13
Orange,2168424,0.145,0.172,0.277,0.26,0.145
Placer,270397,0.055,0.18,0.368,0.264,0.133
Plumas,14479,0.049,0.261,0.453,0.148,0.089
Riverside,1559869,0.18,0.269,0.329,0.142,0.081
Sacramento,1028580,0.123,0.224,0.345,0.204,0.104
San Benito,38958,0.195,0.248,0.36,0.136,0.061
San Bernardino,1350620,0.2,0.263,0.327,0.136,0.074
San Diego,2246571,0.126,0.182,0.304,0.238,0.15
San Francisco,695330,0.115,0.121,0.184,0.348,0.233
San Joaquin,467455,0.207,0.283,0.322,0.129,0.059
San Luis Obispo,188857,0.087,0.199,0.36,0.219,0.134
San Mateo,551290,0.104,0.149,0.238,0.29,0.22
Santa Barbara,275092,0.191,0.178,0.29,0.202,0.14
Santa Clara,1334958,0.116,0.141,0.219,0.277,0.247
Santa Cruz,180000,0.137,0.155,0.3,0.238,0.171
Shasta,126524,0.089,0.254,0.435,0.148,0.074
Sierra,2420,0.076,0.317,0.428,0.085,0.095
Siskiyou,31682,0.098,0.255,0.416,0.153,0.078
Solano,303699,0.116,0.238,0.377,0.186,0.083
Sonoma,359314,0.112,0.187,0.345,0.222,0.133
Stanislaus,343626,0.211,0.293,0.325,0.118,0.052
Sutter,62626,0.218,0.233,0.366,0.119,0.063
Tehama,43850,0.155,0.301,0.387,0.111,0.046
Trinity,9847,0.076,0.348,0.38,0.143,0.052
Tulare,271351,0.292,0.255,0.307,0.098,0.048
Tuolumne,41304,0.093,0.283,0.419,0.132,0.073
Ventura,570146,0.15,0.192,0.321,0.213,0.125
Yolo,127586,0.135,0.181,0.27,0.216,0.198
Yuba,48033,0.177,0.236,0.416,0.122,0.048