county_name,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,hh_families,hh_mc_families,hh_mc_with_own_children_under_18,hh_sp_families,hh_sp_with_own_children_under_18,hh_non_families
Alameda,384676,0.062,904174,0.046,608096,769300,577177,384676,292079,134935,92597,39409,192501
Alpine,231,0.087,392,0.125,1767,365300,350,231,194,37,37,13,119
Amador,9872,0.062,14675,0.069,18379,313700,14594,9872,7954,2045,1918,838,4722
Butte,51447,0.111,104557,0.081,96505,271700,85320,51447,37211,13290,14236,6600,33873
Calaveras,11691,0.074,18397,0.064,27995,319500,16942,11691,9119,1759,2572,1080,5251
Colusa,5327,0.103,10127,0.043,8044,265200,7227,5327,4012,1969,1315,843,1900
Contra Costa,284806,0.062,590758,0.053,413719,625800,394769,284806,217370,95776,67436,32103,109963
Del Norte,6135,0.147,9766,0.077,11379,218800,9945,6135,4295,1555,1840,913,3810
El Dorado,49749,0.051,90018,0.055,90333,460900,70974,49749,41616,13354,8133,3907,21225
Fresno,222417,0.183,446387,0.087,331142,255000,307906,222417,143986,66234,78431,43575,85489
Glenn,7390,0.146,11914,0.053,11008,233200,10085,7390,5575,2497,1815,803,2695
Humboldt,30179,0.105,67283,0.078,63089,313200,54679,30179,20959,7429,9220,5151,24500
Imperial,34147,0.205,69998,0.142,57690,195800,44829,34147,22355,9880,11792,5217,10682
Inyo,4296,0.076,8593,0.041,9572,269100,7950,4296,3307,988,989,408,3654
Kern,200426,0.172,380904,0.098,298117,213900,270282,200426,137205,67608,63221,35021,69856
Kings,33431,0.146,58904,0.076,46181,215900,43452,33431,22538,11921,10893,6359,10021
Lake,15203,0.141,26631,0.087,34845,219400,25660,15203,10867,3508,4336,2275,10457
Lassen,6168,0.1,9209,0.065,12783,203000,9280,6168,4887,1474,1281,648,3112
Los Angeles,2210939,0.112,5249298,0.061,3542800,583200,3316795,2210939,1495658,639936,715281,297954,1105856
Madera,35233,0.158,63822,0.087,50677,251200,44881,35233,26146,11230,9087,5273,9648
Marin,66052,0.038,135786,0.037,113084,995800,105432,66052,54174,22241,11878,6387,39380
Mariposa,4801,0.104,7672,0.083,10411,275700,7643,4801,3703,932,1098,582,2842
Mendocino,20910,0.13,41260,0.087,40960,377500,34408,20910,14959,5113,5951,3315,13498
Merced,61049,0.172,119120,0.119,85251,252700,80008,61049,40970,19700,20079,11354,18959
Modoc,2131,0.109,3235,0.086,5258,140600,3616,2131,1700,426,431,260,1485
Mono,2503,0.049,8619,0.034,14116,312500,4765,2503,2061,734,442,222,2262
Monterey,91842,0.096,197404,0.049,141820,516600,127155,91842,66738,29946,25104,12758,35313
Napa,33113,0.051,74472,0.045,55602,635900,48705,33113,25822,10293,7291,3406,15592
Nevada,26148,0.066,46192,0.046,53989,431000,40855,26148,20836,5530,5312,2838,14707
Orange,744011,0.074,1669327,0.046,1100449,679300,1037492,744011,569260,246655,174751,73946,293481
Placer,100416,0.055,186227,0.042,164176,471500,142855,100416,82269,33423,18147,9009,42439
Plumas,5040,0.075,8172,0.054,15830,242300,8450,5040,3858,1044,1182,494,3410
Riverside,527085,0.104,1116090,0.075,840501,350100,724893,527085,389892,169413,137193,67018,197808
Sacramento,358544,0.107,753280,0.065,570752,351900,543025,358544,248627,110958,109917,54778,184481
San Benito,14588,0.069,31510,0.069,18970,551500,18135,14588,10808,4814,3780,1988,3547
San Bernardino,486285,0.127,990400,0.077,720757,328200,636041,486285,331235,149041,155050,75371,149756
San Diego,756963,0.078,1690177,0.06,1213891,563700,1125286,756963,567369,244227,189594,89761,368323
San Francisco,173658,0.055,546541,0.042,397812,1097800,362354,173658,132229,47352,41429,13383,188696
San Joaquin,170529,0.116,339463,0.078,243260,342100,228567,170529,119746,57314,50783,25593,58038
San Luis Obispo,67168,0.061,137209,0.04,122005,574000,105981,67168,53605,17161,13563,6342,38813
San Mateo,184628,0.04,430851,0.037,277773,1089400,263543,184628,145344,63701,39284,14973,78915
Santa Barbara,95941,0.078,226585,0.058,157161,577400,145856,95941,71574,29105,24367,12846,49915
Santa Clara,459738,0.045,1043729,0.043,672495,984000,640215,459738,365000,172596,94738,39004,180477
Santa Cruz,60637,0.074,144670,0.057,106307,756600,95818,60637,46474,17846,14163,6678,35181
Shasta,46340,0.11,78414,0.055,78634,252300,71181,46340,34567,11109,11773,6219,24841
Sierra,837,0.043,1339,0.053,2365,231400,1319,837,616,95,221,123,482
Siskiyou,11396,0.125,17807,0.071,24118,198900,19240,11396,8650,2556,2746,1223,7844
Solano,107477,0.072,220169,0.06,157800,406900,149865,107477,76686,29498,30791,14745,42388
Sonoma,120441,0.053,267732,0.044,207713,609600,189374,120441,91010,33646,29431,13831,68933
Stanislaus,128904,0.116,250975,0.091,181748,291600,173898,128904,90034,42088,38870,20260,44994
Sutter,23837,0.133,42576,0.083,34395,279400,32636,23837,17252,7480,6585,3778,8799
Tehama,16119,0.155,26951,0.086,27558,215900,24189,16119,11525,4041,4594,2340,8070
Trinity,3425,0.122,4897,0.088,8918,287700,5939,3425,2432,413,993,574,2514
Tulare,106450,0.204,197528,0.095,148994,205000,138238,106450,72611,36398,33839,19277,31788
Tuolumne,13757,0.079,22149,0.052,31553,289200,22502,13757,10829,3064,2928,1439,8745
Ventura,196407,0.061,438092,0.051,288896,588400,271040,196407,149835,61641,46572,20942,74633
Yolo,47117,0.09,105929,0.062,77947,424900,74296,47117,35966,16738,11151,5487,27179
Yuba,18386,0.12,32118,0.072,28586,257100,26354,18386,13637,6218,4749,2667,7968