county_name,land_area,population,population_density_sq_mi,median_household_income,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_white,race_and_ethnicity_white_prcnt,race_and_ethnicity_black,race_and_ethnicity_black_prct,race_and_ethnicity_native,race_and_ethnicity_native_prct,race_and_ethnicity_asian,race_and_ethnicity_asian_prct,race_and_ethnicity_islander,race_and_ethnicity_islander_prct,race_and_ethnicity_other,race_and_ethnicity_other_prct,race_and_ethnicity_two,race_and_ethnicity_two_prct,race_and_ethnicity_hispanic,race_and_ethnicity_hispanic_prct,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,hh_families,hh_mc_families,hh_mc_with_own_children_under_18,hh_sp_families,hh_sp_with_own_children_under_18,hh_non_families
Nevada,"2,480,587,338","99,244",103.6,"$66,096","40,855","7,086","8,972","6,523","5,292","6,441","2,931","3,610","84,513",0.85,478,0.00,413,0.00,"1,043",0.01,124,0.00,98,0.00,"3,202",0.03,"9,373",0.09,"4,168","5,051","4,084","5,302","5,130","7,721","9,809","9,032","4,913","4,895","4,671","5,474","5,485","6,874","8,604","8,031",50.5,"76,000",5.6%,18.4%,38.8%,24.2%,13.0%,"26,148",6.6%,"46,192",4.6%,"53,989","$431,000","40,855","26,148","20,836","5,530","5,312","2,838","14,707"
Orange,"2,053,367,783","3,168,044","3,996.0","$90,234","1,037,492","130,036","153,856","151,559","133,015","192,801","115,175","161,050","1,285,855",0.41,"51,269",0.02,"6,116",0.00,"642,948",0.20,"8,928",0.00,"6,032",0.00,"88,170",0.03,"1,078,726",0.34,"182,929","201,756","220,994","209,954","219,279","219,878","172,497","176,925","191,278","210,267","232,007","213,415","211,390","217,015","154,455","134,005",38.1,"2,168,424",14.5%,17.2%,27.7%,26.0%,14.5%,"744,011",7.4%,"1,669,327",4.6%,"1,100,449","$679,300","1,037,492","744,011","569,260","246,655","174,751","73,946","293,481"
Placer,"3,644,306,246","385,512",274.0,"$89,691","142,855","18,223","20,880","21,324","18,392","28,643","16,358","19,035","280,105",0.73,"6,361",0.02,"1,373",0.00,"28,573",0.07,566,0.00,391,0.00,"14,174",0.04,"53,969",0.14,"22,149","24,291","19,705","24,053","25,660","27,142","25,477","28,873","23,063","25,503","20,771","22,600","25,685","25,347","22,903","22,290",42.0,"270,397",5.5%,18.0%,36.8%,26.4%,13.3%,"100,416",5.5%,"186,227",4.2%,"164,176","$471,500","142,855","100,416","82,269","33,423","18,147","9,009","42,439"
Plumas,"6,612,400,910","18,660",7.3,"$55,359","8,450","1,764","2,050","1,466","1,187","1,181",445,357,"15,514",0.83,141,0.01,268,0.01,212,0.01,86,0.00,94,0.01,675,0.04,"1,670",0.09,873,889,758,897,914,"1,390","2,124","1,533",831,951,841,917,745,"1,465","1,976","1,556",52.3,"14,479",4.9%,26.1%,45.3%,14.8%,8.9%,"5,040",7.5%,"8,172",5.4%,"15,830","$242,300","8,450","5,040","3,858","1,044","1,182",494,"3,410"
Riverside,"18,671,212,657","2,411,439",334.5,"$67,005","724,893","128,998","146,006","123,628","95,019","122,402","57,055","51,785","851,702",0.35,"147,160",0.06,"10,362",0.00,"152,347",0.06,"6,471",0.00,"5,936",0.00,"57,983",0.02,"1,179,478",0.49,"159,598","175,054","166,501","157,341","153,484","148,302","123,304","126,895","166,074","182,418","174,985","160,032","151,910","148,570","112,014","104,957",35.6,"1,559,869",18.0%,26.9%,32.9%,14.2%,8.1%,"527,085",10.4%,"1,116,090",7.5%,"840,501","$350,100","724,893","527,085","389,892","169,413","137,193","67,018","197,808"
Sacramento,"2,499,983,887","1,524,553","1,579.4","$67,151","543,025","95,942","107,341","93,798","72,270","91,113","43,046","39,515","681,829",0.45,"144,695",0.09,"5,554",0.00,"235,434",0.15,"17,026",0.01,"5,074",0.00,"81,623",0.05,"353,318",0.23,"99,291","95,454","109,592","111,647","97,171","100,482","86,413","79,506","101,785","101,358","111,011","110,711","94,410","92,866","75,255","57,601",36.2,"1,028,580",12.3%,22.4%,34.5%,20.4%,10.4%,"358,544",10.7%,"753,280",6.5%,"570,752","$351,900","543,025","358,544","248,627","110,958","109,917","54,778","184,481"
San Benito,"3,596,591,082","60,376",43.5,"$86,958","18,135","1,754","3,055","2,914","2,495","4,056","1,904","1,957","20,703",0.34,454,0.01,186,0.00,"1,754",0.03,36,0.00,101,0.00,"1,061",0.02,"36,081",0.60,"4,159","4,475","3,936","3,994","3,859","3,940","3,199","2,663","3,790","4,882","4,113","4,500","3,585","4,207","2,806","2,268",35.7,"38,958",19.5%,24.8%,36.0%,13.6%,6.1%,"14,588",6.9%,"31,510",6.9%,"18,970","$551,500","18,135","14,588","10,808","4,814","3,780","1,988","3,547"
San Bernardino,"51,975,576,263","2,149,031",107.1,"$63,362","636,041","115,821","135,589","115,327","88,703","101,484","44,885","34,232","613,066",0.29,"169,340",0.08,"7,783",0.00,"150,165",0.07,"6,160",0.00,"3,624",0.00,"53,019",0.02,"1,145,874",0.53,"153,434","154,794","163,597","146,419","135,659","133,632","104,599","87,131","158,634","165,301","174,656","149,658","131,845","126,928","96,039","66,705",33.3,"1,350,620",20.0%,26.3%,32.7%,13.6%,7.4%,"486,285",12.7%,"990,400",7.7%,"720,757","$328,200","636,041","486,285","331,235","149,041","155,050","75,371","149,756"
San Diego,"10,904,373,558","3,316,073",787.6,"$78,980","1,125,286","159,588","196,617","181,492","146,773","203,107","105,995","131,714","1,510,756",0.46,"156,084",0.05,"12,474",0.00,"385,657",0.12,"12,747",0.00,"6,560",0.00,"114,278",0.03,"1,117,517",0.34,"199,369","195,838","248,618","238,279","208,200","208,025","176,179","172,050","206,069","212,057","292,689","253,925","209,993","202,045","161,704","131,033",35.8,"2,246,571",12.6%,18.2%,30.4%,23.8%,15.0%,"756,963",7.8%,"1,690,177",6.0%,"1,213,891","$563,700","1,125,286","756,963","567,369","244,227","189,594","89,761","368,323"
San Francisco,"121,477,743","874,961","18,654.8","$112,449","362,354","56,306","40,244","35,552","32,776","56,380","43,129","97,967","354,423",0.41,"43,782",0.05,"1,634",0.00,"298,108",0.34,"2,934",0.00,"3,626",0.00,"37,140",0.04,"133,314",0.15,"34,801","30,090","74,620","83,823","57,066","49,124","47,051","52,100","36,074","30,221","76,936","95,457","63,912","57,081","47,078","39,527",38.2,"695,330",11.5%,12.1%,18.4%,34.8%,23.3%,"173,658",5.5%,"546,541",4.2%,"397,812","$1,097,800","362,354","173,658","132,229","47,352","41,429","13,383","188,696"
San Joaquin,"3,606,127,799","742,603",533.4,"$64,432","228,567","41,522","47,376","40,468","29,898","36,688","17,143","15,472","236,509",0.32,"50,030",0.07,"1,697",0.00,"112,885",0.15,"4,055",0.01,956,0.00,"29,008",0.04,"307,463",0.41,"53,822","54,920","50,743","48,568","47,477","44,350","37,125","35,446","56,102","58,878","53,980","50,200","46,519","43,768","34,407","26,298",34.3,"467,455",20.7%,28.3%,32.2%,12.9%,5.9%,"170,529",11.6%,"339,463",7.8%,"243,260","$342,100","228,567","170,529","119,746","57,314","50,783","25,593","58,038"
San Luis Obispo,"8,548,557,892","282,165",85.5,"$73,518","105,981","16,924","18,914","18,073","14,140","18,887","9,422","9,621","194,375",0.69,"4,909",0.02,"1,510",0.01,"9,969",0.04,265,0.00,400,0.00,"7,203",0.03,"63,534",0.23,"13,020","18,210","20,584","15,922","13,366","18,343","20,215","19,499","13,915","18,620","25,223","18,083","14,784","17,112","19,296","15,973",39.2,"188,857",8.7%,19.9%,36.0%,21.9%,13.4%,"67,168",6.1%,"137,209",4.0%,"122,005","$574,000","105,981","67,168","53,605","17,161","13,563","6,342","38,813"
San Mateo,"1,161,957,020","767,423","1,710.6","$122,641","263,543","23,999","28,754","28,161","28,226","45,483","33,763","75,157","301,123",0.39,"16,718",0.02,"1,158",0.00,"217,287",0.28,"10,092",0.01,"3,012",0.00,"30,785",0.04,"187,248",0.24,"42,608","42,008","46,343","56,696","53,889","54,012","45,025","47,514","46,284","43,105","50,460","59,348","53,294","51,191","41,382","34,264",39.7,"551,290",10.4%,14.9%,23.8%,29.0%,22.0%,"184,628",4.0%,"430,851",3.7%,"277,773","$1,089,400","263,543","184,628","145,344","63,701","39,284","14,973","78,915"
Santa Barbara,"7,084,063,392","444,829",162.6,"$74,624","145,856","21,968","27,177","24,092","18,313","24,851","12,128","17,327","197,993",0.45,"8,409",0.02,"1,601",0.00,"23,882",0.05,387,0.00,603,0.00,"10,117",0.02,"201,837",0.45,"26,904","33,092","38,429","25,005","24,005","25,657","23,111","25,967","28,692","32,026","42,277","27,955","24,985","25,140","21,080","20,504",33.8,"275,092",19.1%,17.8%,29.0%,20.2%,14.0%,"95,941",7.8%,"226,585",5.8%,"157,161","$577,400","145,856","95,941","71,574","29,105","24,367","12,846","49,915"
Santa Clara,"3,343,890,934","1,927,470","1,492.9","$124,055","640,215","62,456","69,671","68,138","63,431","111,139","86,446","178,934","607,903",0.32,"45,259",0.02,"3,366",0.00,"699,290",0.36,"6,229",0.00,"5,505",0.00,"68,940",0.04,"490,978",0.25,"113,362","116,790","127,939","141,690","135,318","124,753","94,833","98,363","120,640","121,537","146,630","155,856","138,341","126,478","90,376","74,564",37.1,"1,334,958",11.6%,14.1%,21.9%,27.7%,24.7%,"459,738",4.5%,"1,043,729",4.3%,"672,495","$984,000","640,215","459,738","365,000","172,596","94,738","39,004","180,477"
Santa Cruz,"1,152,794,691","273,962",615.5,"$82,234","95,818","15,151","15,269","13,259","12,012","15,998","9,380","14,749","156,897",0.57,"2,491",0.01,401,0.00,"12,504",0.05,198,0.00,601,0.00,"8,890",0.03,"91,980",0.34,"13,950","19,249","21,767","15,989","16,215","18,700","17,477","14,981","14,610","18,951","23,068","16,016","16,482","17,418","17,110","11,979",37.8,"180,000",13.7%,15.5%,30.0%,23.8%,17.1%,"60,637",7.4%,"144,670",5.7%,"106,307","$756,600","95,818","60,637","46,474","17,846","14,163","6,678","35,181"
Shasta,"9,778,407,493","179,212",47.5,"$54,667","71,181","16,293","16,691","12,697","9,206","8,950","4,131","3,213","143,013",0.80,"2,030",0.01,"3,912",0.02,"5,745",0.03,244,0.00,178,0.00,"6,115",0.03,"17,975",0.10,"10,349","10,256","10,675","11,008","9,590","12,799","12,975","13,513","11,112","10,699","11,297","11,334","8,854","11,773","12,171","10,807",41.5,"126,524",8.9%,25.4%,43.5%,14.8%,7.4%,"46,340",11.0%,"78,414",5.5%,"78,634","$252,300","71,181","46,340","34,567","11,109","11,773","6,219","24,841"
Sierra,"2,468,694,583","3,040",3.2,"$52,148","1,319",329,303,149,197,201,110,30,"2,662",0.88,2,0.00,29,0.01,0,0.00,0,0.00,0,0.00,23,0.01,324,0.11,101,132,95,154,105,318,232,278,173,123,118,200,167,290,323,231,54.8,"2,420",7.6%,31.7%,42.8%,8.5%,9.5%,837,4.3%,"1,339",5.3%,"2,365","$231,400","1,319",837,616,95,221,123,482
Siskiyou,"16,261,933,244","43,468",6.9,"$45,241","19,240","5,271","5,127","3,392","2,130","2,238",622,460,"33,081",0.76,684,0.02,"1,389",0.03,696,0.02,124,0.00,51,0.00,"1,976",0.05,"5,467",0.13,"2,682","2,006","1,965","2,184","2,144","3,384","3,792","3,603","2,539","2,522","2,229","2,229","2,340","2,836","3,491","3,522",47.8,"31,682",9.8%,25.5%,41.6%,15.3%,7.8%,"11,396",12.5%,"17,807",7.1%,"24,118","$198,900","19,240","11,396","8,650","2,556","2,746","1,223","7,844"
Solano,"2,128,488,719","441,829",537.6,"$81,472","149,865","18,667","25,510","24,967","21,876","29,756","15,013","14,076","168,060",0.38,"59,652",0.14,"1,254",0.00,"66,247",0.15,"3,911",0.01,"1,635",0.00,"24,201",0.05,"116,869",0.26,"26,430","26,450","29,535","29,764","26,461","30,293","27,909","25,169","27,562","28,343","32,959","30,791","26,952","29,311","25,613","18,287",38.1,"303,699",11.6%,23.8%,37.7%,18.6%,8.3%,"107,477",7.2%,"220,169",6.0%,"157,800","$406,900","149,865","107,477","76,686","29,498","30,791","14,745","42,388"
Sonoma,"4,080,764,059","499,772",317.2,"$81,018","189,374","24,178","31,852","31,476","26,846","35,025","19,147","20,850","316,022",0.63,"7,399",0.01,"2,343",0.00,"20,082",0.04,"1,483",0.00,"2,239",0.00,"16,635",0.03,"133,569",0.27,"25,679","29,109","30,061","31,660","30,479","36,326","37,767","34,646","27,188","29,461","31,516","32,208","30,965","33,004","33,467","26,236",42.1,"359,314",11.2%,18.7%,34.5%,22.2%,13.3%,"120,441",5.3%,"267,732",4.4%,"207,713","$609,600","189,374","120,441","91,010","33,646","29,431","13,831","68,933"
Stanislaus,"3,874,667,416","543,194",363.1,"$60,704","173,898","31,980","39,612","32,482","22,980","27,598","10,713","8,533","227,369",0.42,"15,311",0.03,"2,481",0.00,"29,284",0.05,"3,625",0.01,747,0.00,"13,118",0.02,"251,259",0.46,"40,062","39,425","38,303","36,347","33,081","33,813","26,281","27,011","39,921","42,817","39,667","36,511","33,490","32,703","24,000","19,762",34.1,"343,626",21.1%,29.3%,32.5%,11.8%,5.2%,"128,904",11.6%,"250,975",9.1%,"181,748","$291,600","173,898","128,904","90,034","42,088","38,870","20,260","44,994"
Sutter,"1,560,546,528","96,109",159.5,"$59,050","32,636","6,275","7,609","6,019","3,964","5,324","1,870","1,575","44,412",0.46,"1,684",0.02,625,0.01,"14,914",0.16,376,0.00,148,0.00,"4,202",0.04,"29,748",0.31,"6,655","6,556","6,314","6,298","5,634","5,805","5,330","5,651","7,040","7,144","6,761","6,222","5,603","5,642","5,224","4,230",35.7,"62,626",21.8%,23.3%,36.6%,11.9%,6.3%,"23,837",13.3%,"42,576",8.3%,"34,395","$279,400","32,636","23,837","17,252","7,480","6,585","3,778","8,799"
Tehama,"7,638,228,749","63,912",21.7,"$44,514","24,189","7,056","6,245","4,168","2,576","2,349",951,844,"43,679",0.68,472,0.01,890,0.01,967,0.02,15,0.00,11,0.00,"1,920",0.03,"15,958",0.25,"3,681","4,370","3,695","3,341","3,723","4,258","4,853","4,218","4,147","4,261","3,966","3,735","3,532","4,377","3,742","4,013",41.0,"43,850",15.5%,30.1%,38.7%,11.1%,4.6%,"16,119",15.5%,"26,951",8.6%,"27,558","$215,900","24,189","16,119","11,525","4,041","4,594","2,340","8,070"
Trinity,"8,234,265,082","12,700",4.0,"$40,846","5,939","1,897","1,661","1,051",518,538,195,79,"10,427",0.82,127,0.01,698,0.05,210,0.02,28,0.00,51,0.00,232,0.02,927,0.07,627,491,362,764,637,"1,033","1,160","1,091",612,709,547,524,719,907,"1,393","1,124",52.5,"9,847",7.6%,34.8%,38.0%,14.3%,5.2%,"3,425",12.2%,"4,897",8.8%,"8,918","$287,700","5,939","3,425","2,432",413,993,574,"2,514"
Tulare,"12,494,889,125","461,898",95.7,"$49,687","138,238","34,785","34,747","23,947","15,893","16,706","6,808","5,352","131,716",0.29,"5,785",0.01,"2,784",0.01,"14,949",0.03,624,0.00,"1,002",0.00,"6,793",0.01,"298,245",0.65,"38,636","38,059","32,959","30,949","26,255","24,748","20,030","19,296","40,431","39,847","34,288","31,392","26,959","24,106","18,990","14,953",31.0,"271,351",29.2%,25.5%,30.7%,9.8%,4.8%,"106,450",20.4%,"197,528",9.5%,"148,994","$205,000","138,238","106,450","72,611","36,398","33,839","19,277","31,788"
Tuolumne,"5,752,029,633","54,045",24.3,"$60,108","22,502","4,630","4,903","3,936","2,934","3,522","1,207","1,370","43,341",0.80,948,0.02,763,0.01,732,0.01,123,0.00,42,0.00,"1,479",0.03,"6,617",0.12,"2,389","2,457","2,537","2,688","2,513","3,636","4,560","5,153","2,670","2,493","3,538","3,532","3,240","3,665","4,686","4,288",48.4,"41,304",9.3%,28.3%,41.9%,13.2%,7.3%,"13,757",7.9%,"22,149",5.2%,"31,553","$289,200","22,502","13,757","10,829","3,064","2,928","1,439","8,745"
Ventura,"4,771,987,962","847,263",459.9,"$88,131","271,040","31,138","42,902","40,142","38,054","53,296","29,510","35,998","384,818",0.45,"14,297",0.02,"2,017",0.00,"60,710",0.07,"1,421",0.00,"1,138",0.00,"21,261",0.03,"361,601",0.43,"50,414","57,446","56,551","52,150","55,058","59,250","49,059","48,224","52,231","58,881","60,122","54,926","53,209","58,341","44,039","37,362",38.1,"570,146",15.0%,19.2%,32.1%,21.3%,12.5%,"196,407",6.1%,"438,092",5.1%,"288,896","$588,400","271,040","196,407","149,835","61,641","46,572","20,942","74,633"
Yolo,"2,628,144,759","217,352",214.2,"$70,228","74,296","14,854","12,393","12,322","8,895","11,435","6,450","7,947","101,452",0.47,"5,279",0.02,663,0.00,"30,155",0.14,883,0.00,362,0.00,"9,854",0.05,"68,704",0.32,"12,152","17,776","23,939","13,266","12,296","11,996","10,300","10,189","12,658","16,559","22,705","14,139","11,133","11,758","8,893","7,593",31.0,"127,586",13.5%,18.1%,27.0%,21.6%,19.8%,"47,117",9.0%,"105,929",6.2%,"77,947","$424,900","74,296","47,117","35,966","16,738","11,151","5,487","27,179"
Yuba,"1,636,913,845","76,360",120.8,"$58,054","26,354","5,401","6,193","4,676","3,206","4,233","1,708",937,"42,145",0.55,"2,554",0.03,594,0.01,"5,075",0.07,296,0.00,136,0.00,"3,997",0.05,"21,563",0.28,"6,085","4,776","5,494","5,487","4,077","4,273","4,297","2,921","6,220","5,779","6,388","5,496","4,197","4,309","3,787","2,774",32.8,"48,033",17.7%,23.6%,41.6%,12.2%,4.8%,"18,386",12.0%,"32,118",7.2%,"28,586","$257,100","26,354","18,386","13,637","6,218","4,749","2,667","7,968"