county_name,land_area,population,population_density_sq_mi,median_household_income,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,hhi_total_prct,hhi_lt_25k_prct,hhi_25k_to_49k_prct,hhi_50k_to_749k_prct,hhi_75k_to_999k_prct,hhi_100k_to_1490k_prct,hhi_150k_to_1999k_prct,hhi_200k_or_more_prct,race_and_ethnicity_white,race_and_ethnicity_white_prcnt,race_and_ethnicity_black,race_and_ethnicity_black_prct,race_and_ethnicity_native,race_and_ethnicity_native_prct,race_and_ethnicity_asian,race_and_ethnicity_asian_prct,race_and_ethnicity_islander,race_and_ethnicity_islander_prct,race_and_ethnicity_other,race_and_ethnicity_other_prct,race_and_ethnicity_two,race_and_ethnicity_two_prct,race_and_ethnicity_hispanic,race_and_ethnicity_hispanic_prct,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,age_female_0_to_9_prct,age_female_10_to_19_prct,age_female_20_to_29_prct,age_female_30_to_39_prct,age_female_40_to_49_prct,age_female_50_to_59_prct,age_female_60_to_69_prct,age_female_70_plus_prct,age_male_0_to_9_prct,age_male_10_to_19_prct,age_male_20_to_29_prct,age_male_30_to_39_prct,age_male_40_to_49_prct,age_male_50_to_59_prct,age_male_60_to_69_prct,age_male_70_plus_prct,median_Age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,hh_families,hh_mc_families,hh_mc_with_own_children_under_18,hh_sp_families,hh_sp_with_own_children_under_18,hh_non_families,
Napa,1937986794,139623,186.6,88596,48705,5507,7837,7278,6397,9073,5305,7308,0.348832212,0.039441926,0.056129721,0.052126082,0.045816234,0.06498213,0.037995173,0.052340947,73210,0.524340546,2780,0.01991076,407,0.002914993,11196,0.080187362,284,0.002034049,526,0.003767288,3676,0.026328041,47544,0.340516964,6930,8950,8365,8558,9020,9727,8926,9544,7634,9179,8811,9034,8958,9531,8440,8016,0.050,0.064,0.060,0.061,0.065,0.070,0.064,0.068,0.055,0.066,0.063,0.065,0.064,0.068,0.060,0.057,41.3,98223,0.145,0.178,0.32,0.232,0.125,33113,0.051,74472,0.045,55602,635900,48705,33113,25822,10293,7291,3406,15592,
Nevada,2480587338,99244,103.6,66096,40855,7086,8972,6523,5292,6441,2931,3610,0.411662166,0.071399782,0.09040345,0.065726895,0.053323123,0.064900649,0.029533272,0.036374995,84513,0.851567853,478,0.004816412,413,0.004161461,1043,0.010509451,124,0.001249446,98,0.000987465,3202,0.032263915,9373,0.094443997,4168,5051,4084,5302,5130,7721,9809,9032,4913,4895,4671,5474,5485,6874,8604,8031,0.042,0.051,0.041,0.053,0.052,0.078,0.099,0.091,0.050,0.049,0.047,0.055,0.055,0.069,0.087,0.081,50.5,76000,0.056,0.184,0.388,0.242,0.13,26148,0.066,46192,0.046,53989,431000,40855,26148,20836,5530,5312,2838,14707,
Orange,2053367783,3168044,3996,90234,1037492,130036,153856,151559,133015,192801,115175,161050,0.327486613,0.041046147,0.048564982,0.047839929,0.041986475,0.060858056,0.03635524,0.050835784,1285855,0.405882936,51269,0.016183172,6116,0.001930529,642948,0.202947939,8928,0.002818143,6032,0.001904014,88170,0.027831053,1078726,0.340502215,182929,201756,220994,209954,219279,219878,172497,176925,191278,210267,232007,213415,211390,217015,154455,134005,0.058,0.064,0.070,0.066,0.069,0.069,0.054,0.056,0.060,0.066,0.073,0.067,0.067,0.069,0.049,0.042,38.1,2168424,0.145,0.172,0.277,0.26,0.145,744011,0.074,1669327,0.046,1100449,679300,1037492,744011,569260,246655,174751,73946,293481,
Placer,3644306246,385512,274,89691,142855,18223,20880,21324,18392,28643,16358,19035,0.370559153,0.047269605,0.054161738,0.055313453,0.047707983,0.074298595,0.042431883,0.049375895,280105,0.726579199,6361,0.016500135,1373,0.003561497,28573,0.074117018,566,0.001468177,391,0.001014236,14174,0.036766689,53969,0.139993048,22149,24291,19705,24053,25660,27142,25477,28873,23063,25503,20771,22600,25685,25347,22903,22290,0.057,0.063,0.051,0.062,0.067,0.070,0.066,0.075,0.060,0.066,0.054,0.059,0.067,0.066,0.059,0.058,42,270397,0.055,0.18,0.368,0.264,0.133,100416,0.055,186227,0.042,164176,471500,142855,100416,82269,33423,18147,9009,42439,
Plumas,6612400910,18660,7.3,55359,8450,1764,2050,1466,1187,1181,445,357,0.4528403,0.094533762,0.109860665,0.078563773,0.063612004,0.063290461,0.023847803,0.019131833,15514,0.831404073,141,0.00755627,268,0.014362272,212,0.0113612,86,0.004608789,94,0.005037513,675,0.036173633,1670,0.089496249,873,889,758,897,914,1390,2124,1533,831,951,841,917,745,1465,1976,1556,0.047,0.048,0.041,0.048,0.049,0.074,0.114,0.082,0.045,0.051,0.045,0.049,0.040,0.079,0.106,0.083,52.3,14479,0.049,0.261,0.453,0.148,0.089,5040,0.075,8172,0.054,15830,242300,8450,5040,3858,1044,1182,494,3410,
Riverside,18671212657,2411439,334.5,67005,724893,128998,146006,123628,95019,122402,57055,51785,0.300605987,0.0534942,0.06054725,0.051267314,0.039403443,0.050758904,0.023660146,0.021474729,851702,0.35319243,147160,0.061025802,10362,0.004297019,152347,0.0631768,6471,0.00268346,5936,0.002461601,57983,0.024044979,1179478,0.489117908,159598,175054,166501,157341,153484,148302,123304,126895,166074,182418,174985,160032,151910,148570,112014,104957,0.066,0.073,0.069,0.065,0.064,0.061,0.051,0.053,0.069,0.076,0.073,0.066,0.063,0.062,0.046,0.044,35.6,1559869,0.18,0.269,0.329,0.142,0.081,527085,0.104,1116090,0.075,840501,350100,724893,527085,389892,169413,137193,67018,197808,
Sacramento,2499983887,1524553,1579.4,67151,543025,95942,107341,93798,72270,91113,43046,39515,0.356186371,0.062931233,0.070408179,0.061524919,0.047404059,0.059763747,0.028235161,0.025919073,681829,0.447232074,144695,0.094909787,5554,0.003643035,235434,0.154428216,17026,0.011167864,5074,0.003328189,81623,0.053538972,353318,0.231751864,99291,95454,109592,111647,97171,100482,86413,79506,101785,101358,111011,110711,94410,92866,75255,57601,0.065,0.063,0.072,0.073,0.064,0.066,0.057,0.052,0.067,0.066,0.073,0.073,0.062,0.061,0.049,0.038,36.2,1028580,0.123,0.224,0.345,0.204,0.104,358544,0.107,753280,0.065,570752,351900,543025,358544,248627,110958,109917,54778,184481,
San Benito,3596591082,60376,43.5,86958,18135,1754,3055,2914,2495,4056,1904,1957,0.300367696,0.029051279,0.050599576,0.048264211,0.041324367,0.067179012,0.03153571,0.032413542,20703,0.342901153,454,0.007519544,186,0.003080694,1754,0.029051279,36,0.000596263,101,0.00167285,1061,0.017573208,36081,0.597605009,4159,4475,3936,3994,3859,3940,3199,2663,3790,4882,4113,4500,3585,4207,2806,2268,0.069,0.074,0.065,0.066,0.064,0.065,0.053,0.044,0.063,0.081,0.068,0.075,0.059,0.070,0.046,0.038,35.7,38958,0.195,0.248,0.36,0.136,0.061,14588,0.069,31510,0.069,18970,551500,18135,14588,10808,4814,3780,1988,3547,
San Bernardino,51975576263,2149031,107.1,63362,636041,115821,135589,115327,88703,101484,44885,34232,0.295966415,0.053894523,0.063093087,0.053664652,0.041275812,0.047223144,0.020886158,0.01592904,613066,0.28527555,169340,0.078798305,7783,0.003621632,150165,0.069875679,6160,0.002866408,3624,0.001686341,53019,0.024671119,1145874,0.533204965,153434,154794,163597,146419,135659,133632,104599,87131,158634,165301,174656,149658,131845,126928,96039,66705,0.071,0.072,0.076,0.068,0.063,0.062,0.049,0.041,0.074,0.077,0.081,0.070,0.061,0.059,0.045,0.031,33.3,1350620,0.2,0.263,0.327,0.136,0.074,486285,0.127,990400,0.077,720757,328200,636041,486285,331235,149041,155050,75371,149756,
San Diego,10904373558,3316073,787.6,78980,1125286,159588,196617,181492,146773,203107,105995,131714,0.339342952,0.048125599,0.059292121,0.054731003,0.044261088,0.061249255,0.031964013,0.039719873,1510756,0.455585869,156084,0.047068928,12474,0.003761678,385657,0.116299309,12747,0.003844005,6560,0.001978244,114278,0.034461847,1117517,0.33700012,199369,195838,248618,238279,208200,208025,176179,172050,206069,212057,292689,253925,209993,202045,161704,131033,0.060,0.059,0.075,0.072,0.063,0.063,0.053,0.052,0.062,0.064,0.088,0.077,0.063,0.061,0.049,0.040,35.8,2246571,0.126,0.182,0.304,0.238,0.15,756963,0.078,1690177,0.06,1213891,563700,1125286,756963,567369,244227,189594,89761,368323,
San Francisco,121477743,874961,18654.8,112449,362354,56306,40244,35552,32776,56380,43129,97967,0.414137316,0.064352583,0.045995193,0.040632668,0.037459955,0.064437158,0.049292483,0.111967276,354423,0.405072912,43782,0.050038802,1634,0.001867512,298108,0.340710043,2934,0.003353292,3626,0.004144185,37140,0.042447606,133314,0.152365648,34801,30090,74620,83823,57066,49124,47051,52100,36074,30221,76936,95457,63912,57081,47078,39527,0.040,0.034,0.085,0.096,0.065,0.056,0.054,0.060,0.041,0.035,0.088,0.109,0.073,0.065,0.054,0.045,38.2,695330,0.115,0.121,0.184,0.348,0.233,173658,0.055,546541,0.042,397812,1097800,362354,173658,132229,47352,41429,13383,188696,
San Joaquin,3606127799,742603,533.4,64432,228567,41522,47376,40468,29898,36688,17143,15472,0.307791646,0.055914129,0.063797211,0.054494797,0.040261082,0.049404594,0.023085013,0.02083482,236509,0.318486459,50030,0.067371126,1697,0.002285205,112885,0.152012583,4055,0.005460522,956,0.001287364,29008,0.039062595,307463,0.414034147,53822,54920,50743,48568,47477,44350,37125,35446,56102,58878,53980,50200,46519,43768,34407,26298,0.072,0.074,0.068,0.065,0.064,0.060,0.050,0.048,0.076,0.079,0.073,0.068,0.063,0.059,0.046,0.035,34.3,467455,0.207,0.283,0.322,0.129,0.059,170529,0.116,339463,0.078,243260,342100,228567,170529,119746,57314,50783,25593,58038,
San Luis Obispo,8548557892,282165,85.5,73518,105981,16924,18914,18073,14140,18887,9422,9621,0.375599383,0.05997909,0.067031701,0.064051176,0.050112523,0.066936013,0.03339181,0.034097071,194375,0.688869987,4909,0.017397622,1510,0.005351479,9969,0.035330392,265,0.000939167,400,0.00141761,7203,0.025527617,63534,0.225166126,13020,18210,20584,15922,13366,18343,20215,19499,13915,18620,25223,18083,14784,17112,19296,15973,0.046,0.065,0.073,0.056,0.047,0.065,0.072,0.069,0.049,0.066,0.089,0.064,0.052,0.061,0.068,0.057,39.2,188857,0.087,0.199,0.36,0.219,0.134,67168,0.061,137209,0.04,122005,574000,105981,67168,53605,17161,13563,6342,38813,
San Mateo,1161957020,767423,1710.6,122641,263543,23999,28754,28161,28226,45483,33763,75157,0.343412955,0.031272193,0.037468254,0.036695538,0.036780237,0.059267184,0.043995293,0.097934255,301123,0.392382037,16718,0.021784596,1158,0.001508946,217287,0.283138504,10092,0.013150505,3012,0.003924824,30785,0.040114774,187248,0.243995815,42608,42008,46343,56696,53889,54012,45025,47514,46284,43105,50460,59348,53294,51191,41382,34264,0.056,0.055,0.060,0.074,0.070,0.070,0.059,0.062,0.060,0.056,0.066,0.077,0.069,0.067,0.054,0.045,39.7,551290,0.104,0.149,0.238,0.29,0.22,184628,0.04,430851,0.037,277773,1089400,263543,184628,145344,63701,39284,14973,78915,
Santa Barbara,7084063392,444829,162.6,74624,145856,21968,27177,24092,18313,24851,12128,17327,0.327892291,0.049385269,0.061095387,0.054160138,0.041168629,0.055866412,0.027264409,0.038952047,197993,0.445099128,8409,0.018903893,1601,0.003599136,23882,0.053688046,387,0.000869997,603,0.001355577,10117,0.022743571,201837,0.453740651,26904,33092,38429,25005,24005,25657,23111,25967,28692,32026,42277,27955,24985,25140,21080,20504,0.060,0.074,0.086,0.056,0.054,0.058,0.052,0.058,0.065,0.072,0.095,0.063,0.056,0.057,0.047,0.046,33.8,275092,0.191,0.178,0.29,0.202,0.14,95941,0.078,226585,0.058,157161,577400,145856,95941,71574,29105,24367,12846,49915,
Santa Clara,3343890934,1927470,1492.9,124055,640215,62456,69671,68138,63431,111139,86446,178934,0.33215303,0.032403098,0.036146347,0.035351004,0.032908943,0.05766056,0.044849466,0.092833611,607903,0.315389085,45259,0.02348104,3366,0.001746331,699290,0.362802015,6229,0.003231698,5505,0.002856076,68940,0.035767094,490978,0.254726662,113362,116790,127939,141690,135318,124753,94833,98363,120640,121537,146630,155856,138341,126478,90376,74564,0.059,0.061,0.066,0.074,0.070,0.065,0.049,0.051,0.063,0.063,0.076,0.081,0.072,0.066,0.047,0.039,37.1,1334958,0.116,0.141,0.219,0.277,0.247,459738,0.045,1043729,0.043,672495,984000,640215,459738,365000,172596,94738,39004,180477,
Santa Cruz,1152794691,273962,615.5,82234,95818,15151,15269,13259,12012,15998,9380,14749,0.349749235,0.05530329,0.055734007,0.048397223,0.043845497,0.05839496,0.034238325,0.053835933,156897,0.572696213,2491,0.009092502,401,0.001463707,12504,0.045641366,198,0.000722728,601,0.002193735,8890,0.032449756,91980,0.335739993,13950,19249,21767,15989,16215,18700,17477,14981,14610,18951,23068,16016,16482,17418,17110,11979,0.051,0.070,0.079,0.058,0.059,0.068,0.064,0.055,0.053,0.069,0.084,0.058,0.060,0.064,0.062,0.044,37.8,180000,0.137,0.155,0.3,0.238,0.171,60637,0.074,144670,0.057,106307,756600,95818,60637,46474,17846,14163,6678,35181,
Shasta,9778407493,179212,47.5,54667,71181,16293,16691,12697,9206,8950,4131,3213,0.397188804,0.090914671,0.093135504,0.07084905,0.051369328,0.049940852,0.023050912,0.017928487,143013,0.798010178,2030,0.011327366,3912,0.021828895,5745,0.032057005,244,0.001361516,178,0.000993237,6115,0.034121599,17975,0.100300203,10349,10256,10675,11008,9590,12799,12975,13513,11112,10699,11297,11334,8854,11773,12171,10807,0.058,0.057,0.060,0.061,0.054,0.071,0.072,0.075,0.062,0.060,0.063,0.063,0.049,0.066,0.068,0.060,41.5,126524,0.089,0.254,0.435,0.148,0.074,46340,0.11,78414,0.055,78634,252300,71181,46340,34567,11109,11773,6219,24841,
Sierra,2468694583,3040,3.2,52148,1319,329,303,149,197,201,110,30,0.433881579,0.108223684,0.099671053,0.049013158,0.064802632,0.066118421,0.036184211,0.009868421,2662,0.875657895,2,0.000657895,29,0.009539474,0,0,0,0,0,0,23,0.007565789,324,0.106578947,101,132,95,154,105,318,232,278,173,123,118,200,167,290,323,231,0.033,0.043,0.031,0.051,0.035,0.105,0.076,0.091,0.057,0.040,0.039,0.066,0.055,0.095,0.106,0.076,54.8,2420,0.076,0.317,0.428,0.085,0.095,837,0.043,1339,0.053,2365,231400,1319,837,616,95,221,123,482,
Siskiyou,16261933244,43468,6.9,45241,19240,5271,5127,3392,2130,2238,622,460,0.442624459,0.121261618,0.117948836,0.078034416,0.049001564,0.051486151,0.014309377,0.010582497,33081,0.761042606,684,0.015735714,1389,0.031954541,696,0.016011779,124,0.002852673,51,0.001173277,1976,0.045458728,5467,0.125770682,2682,2006,1965,2184,2144,3384,3792,3603,2539,2522,2229,2229,2340,2836,3491,3522,0.062,0.046,0.045,0.050,0.049,0.078,0.087,0.083,0.058,0.058,0.051,0.051,0.054,0.065,0.080,0.081,47.8,31682,0.098,0.255,0.416,0.153,0.078,11396,0.125,17807,0.071,24118,198900,19240,11396,8650,2556,2746,1223,7844,
Solano,2128488719,441829,537.6,81472,149865,18667,25510,24967,21876,29756,15013,14076,0.339192312,0.042249377,0.057737269,0.056508287,0.049512368,0.067347322,0.033979209,0.031858479,168060,0.380373402,59652,0.135011509,1254,0.002838202,66247,0.149938098,3911,0.008851841,1635,0.003700527,24201,0.054774585,116869,0.264511836,26430,26450,29535,29764,26461,30293,27909,25169,27562,28343,32959,30791,26952,29311,25613,18287,0.060,0.060,0.067,0.067,0.060,0.069,0.063,0.057,0.062,0.064,0.075,0.070,0.061,0.066,0.058,0.041,38.1,303699,0.116,0.238,0.377,0.186,0.083,107477,0.072,220169,0.06,157800,406900,149865,107477,76686,29498,30791,14745,42388,
Sonoma,4080764059,499772,317.2,81018,189374,24178,31852,31476,26846,35025,19147,20850,0.378920788,0.04837806,0.063733062,0.062980719,0.053716495,0.070081957,0.03831147,0.041719024,316022,0.632332344,7399,0.014804751,2343,0.004688138,20082,0.040182323,1483,0.002967353,2239,0.004480043,16635,0.033285178,133569,0.267259871,25679,29109,30061,31660,30479,36326,37767,34646,27188,29461,31516,32208,30965,33004,33467,26236,0.051,0.058,0.060,0.063,0.061,0.073,0.076,0.069,0.054,0.059,0.063,0.064,0.062,0.066,0.067,0.052,42.1,359314,0.112,0.187,0.345,0.222,0.133,120441,0.053,267732,0.044,207713,609600,189374,120441,91010,33646,29431,13831,68933,
Stanislaus,3874667416,543194,363.1,60704,173898,31980,39612,32482,22980,27598,10713,8533,0.320139766,0.058873993,0.072924222,0.059798157,0.042305327,0.050806894,0.019722236,0.015708936,227369,0.418577893,15311,0.028186983,2481,0.004567429,29284,0.053910757,3625,0.006673491,747,0.001375199,13118,0.024149751,251259,0.462558497,40062,39425,38303,36347,33081,33813,26281,27011,39921,42817,39667,36511,33490,32703,24000,19762,0.074,0.073,0.071,0.067,0.061,0.062,0.048,0.050,0.073,0.079,0.073,0.067,0.062,0.060,0.044,0.036,34.1,343626,0.211,0.293,0.325,0.118,0.052,128904,0.116,250975,0.091,181748,291600,173898,128904,90034,42088,38870,20260,44994,
Sutter,1560546528,96109,159.5,59050,32636,6275,7609,6019,3964,5324,1870,1575,0.339572777,0.065290451,0.079170525,0.062626809,0.041244837,0.055395436,0.019457075,0.016387643,44412,0.462100324,1684,0.017521772,625,0.006503033,14914,0.155177975,376,0.003912225,148,0.001539918,4202,0.043721192,29748,0.309523562,6655,6556,6314,6298,5634,5805,5330,5651,7040,7144,6761,6222,5603,5642,5224,4230,0.069,0.068,0.066,0.066,0.059,0.060,0.055,0.059,0.073,0.074,0.070,0.065,0.058,0.059,0.054,0.044,35.7,62626,0.218,0.233,0.366,0.119,0.063,23837,0.133,42576,0.083,34395,279400,32636,23837,17252,7480,6585,3778,8799,
Tehama,7638228749,63912,21.7,44514,24189,7056,6245,4168,2576,2349,951,844,0.378473526,0.110401802,0.09771248,0.06521467,0.04030542,0.036753661,0.014879835,0.013205658,43679,0.683424083,472,0.007385155,890,0.013925397,967,0.015130179,15,0.000234698,11,0.000172112,1920,0.030041307,15958,0.24968707,3681,4370,3695,3341,3723,4258,4853,4218,4147,4261,3966,3735,3532,4377,3742,4013,0.058,0.068,0.058,0.052,0.058,0.067,0.076,0.066,0.065,0.067,0.062,0.058,0.055,0.068,0.059,0.063,41,43850,0.155,0.301,0.387,0.111,0.046,16119,0.155,26951,0.086,27558,215900,24189,16119,11525,4041,4594,2340,8070,
Trinity,8234265082,12700,4,40846,5939,1897,1661,1051,518,538,195,79,0.467637795,0.149370079,0.130787402,0.082755906,0.040787402,0.042362205,0.015354331,0.006220472,10427,0.821023622,127,0.01,698,0.05496063,210,0.016535433,28,0.002204724,51,0.004015748,232,0.018267717,927,0.072992126,627,491,362,764,637,1033,1160,1091,612,709,547,524,719,907,1393,1124,0.049,0.039,0.029,0.060,0.050,0.081,0.091,0.086,0.048,0.056,0.043,0.041,0.057,0.071,0.110,0.089,52.5,9847,0.076,0.348,0.38,0.143,0.052,3425,0.122,4897,0.088,8918,287700,5939,3425,2432,413,993,574,2514,
Tulare,12494889125,461898,95.7,49687,138238,34785,34747,23947,15893,16706,6808,5352,0.299282526,0.075308834,0.075226565,0.05184478,0.034408029,0.036168158,0.014739185,0.011586974,131716,0.285162525,5785,0.01252441,2784,0.006027305,14949,0.032364288,624,0.001350948,1002,0.00216931,6793,0.01470671,298245,0.645694504,38636,38059,32959,30949,26255,24748,20030,19296,40431,39847,34288,31392,26959,24106,18990,14953,0.084,0.082,0.071,0.067,0.057,0.054,0.043,0.042,0.088,0.086,0.074,0.068,0.058,0.052,0.041,0.032,31,271351,0.292,0.255,0.307,0.098,0.048,106450,0.204,197528,0.095,148994,205000,138238,106450,72611,36398,33839,19277,31788,
Tuolumne,5752029633,54045,24.3,60108,22502,4630,4903,3936,2934,3522,1207,1370,0.41635674,0.08566935,0.090720696,0.072828199,0.054288093,0.065167916,0.022333241,0.025349246,43341,0.801942825,948,0.017540938,763,0.014117865,732,0.013544269,123,0.002275881,42,0.00077713,1479,0.027366084,6617,0.122435008,2389,2457,2537,2688,2513,3636,4560,5153,2670,2493,3538,3532,3240,3665,4686,4288,0.044,0.045,0.047,0.050,0.046,0.067,0.084,0.095,0.049,0.046,0.065,0.065,0.060,0.068,0.087,0.079,48.4,41304,0.093,0.283,0.419,0.132,0.073,13757,0.079,22149,0.052,31553,289200,22502,13757,10829,3064,2928,1439,8745,
Ventura,4771987962,847263,459.9,88131,271040,31138,42902,40142,38054,53296,29510,35998,0.319900668,0.03675128,0.050635989,0.047378441,0.044914035,0.062903726,0.034829799,0.042487398,384818,0.454189549,14297,0.016874335,2017,0.002380607,60710,0.071654256,1421,0.001677165,1138,0.001343148,21261,0.025093743,361601,0.426787196,50414,57446,56551,52150,55058,59250,49059,48224,52231,58881,60122,54926,53209,58341,44039,37362,0.060,0.068,0.067,0.062,0.065,0.070,0.058,0.057,0.062,0.069,0.071,0.065,0.063,0.069,0.052,0.044,38.1,570146,0.15,0.192,0.321,0.213,0.125,196407,0.061,438092,0.051,288896,588400,271040,196407,149835,61641,46572,20942,74633,
Yolo,2628144759,217352,214.2,70228,74296,14854,12393,12322,8895,11435,6450,7947,0.341823402,0.068340756,0.057018109,0.05669145,0.040924399,0.052610512,0.029675365,0.036562811,101452,0.466763591,5279,0.024287791,663,0.003050352,30155,0.138738084,883,0.004062535,362,0.001665501,9854,0.045336597,68704,0.31609555,12152,17776,23939,13266,12296,11996,10300,10189,12658,16559,22705,14139,11133,11758,8893,7593,0.056,0.082,0.110,0.061,0.057,0.055,0.047,0.047,0.058,0.076,0.104,0.065,0.051,0.054,0.041,0.035,31,127586,0.135,0.181,0.27,0.216,0.198,47117,0.09,105929,0.062,77947,424900,74296,47117,35966,16738,11151,5487,27179,
Yuba,1636913845,76360,120.8,58054,26354,5401,6193,4676,3206,4233,1708,937,0.345128339,0.070730749,0.081102672,0.061236249,0.041985333,0.055434783,0.022367732,0.012270822,42145,0.551925092,2554,0.033446831,594,0.007778942,5075,0.066461498,296,0.003876375,136,0.001781037,3997,0.052344159,21563,0.282386066,6085,4776,5494,5487,4077,4273,4297,2921,6220,5779,6388,5496,4197,4309,3787,2774,0.080,0.063,0.072,0.072,0.053,0.056,0.056,0.038,0.081,0.076,0.084,0.072,0.055,0.056,0.050,0.036,32.8,48033,0.177,0.236,0.416,0.122,0.048,18386,0.12,32118,0.072,28586,257100,26354,18386,13637,6218,4749,2667,7968,